school,city,county,Adm,App,Enr
ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,13.0,102.0,7.0
AMERICAN RIVER COLLEGE,Sacramento,Sacramento,28.0,138.0,9.0
ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,25.0,104.0,18.0
BAKERSFIELD COLLEGE,Bakersfield,Kern,16.0,91.0,8.0
BARSTOW COLLEGE,Barstow,San Bernardino,,19.0,
BERKELEY CITY COLLEGE,Berkeley,Alameda,72.0,295.0,22.0
BUTTE COLLEGE,Oroville,Butte,8.0,36.0,6.0
CABRILLO COLLEGE,Aptos,Santa Cruz,32.0,122.0,13.0
CANADA COLLEGE,Redwood City,San Mateo,13.0,78.0,5.0
CERRITOS COLLEGE,Norwalk,Los Angeles,45.0,225.0,36.0
CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,4.0,9.0,4.0
CHABOT COLLEGE,Hayward,Alameda,38.0,150.0,15.0
CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,44.0,218.0,30.0
CITRUS COLLEGE,Glendora,Los Angeles,46.0,271.0,29.0
CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,54.0,302.0,16.0
CLOVIS COMMUNITY COLLEGE,Fresno,Fresno,13.0,76.0,8.0
COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,7.0,41.0,3.0
COLLEGE OF ALAMEDA,Alameda,Alameda,16.0,68.0,8.0
COLLEGE OF MARIN,Kentfield,Marin,21.0,143.0,8.0
COLLEGE OF SAN MATEO,San Mateo,San Mateo,47.0,259.0,30.0
COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,100.0,385.0,75.0
COLLEGE OF THE DESERT,Palm Desert,Riverside,28.0,127.0,16.0
COLLEGE OF THE REDWOODS,Eureka,Humboldt,3.0,13.0,
COLLEGE OF THE SEQUOIAS,Visalia,Tulare,6.0,46.0,4.0
COLUMBIA COLLEGE,Sonora,Tuolumne,3.0,14.0,
COMPTON COLLEGE,Compton,Los Angeles,,18.0,
CONTRA COSTA COLLEGE,San Pablo,Contra Costa,14.0,69.0,
COPPER MOUNTAIN COLLEGE,Joshua Tree,San Bernardino,,12.0,
COSUMNES RIVER COLLEGE,Sacramento,Sacramento,28.0,122.0,11.0
CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,9.0,60.0,4.0
CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,14.0,124.0,3.0
CUYAMACA COLLEGE,El Cajon,San Diego,11.0,79.0,6.0
CYPRESS COLLEGE,Cypress,Orange,43.0,209.0,29.0
DE ANZA COLLEGE,Cupertino,Santa Clara,207.0,1248.0,125.0
DIABLO VALLEY COLLEGE,Pleasant Hill,Contra Costa,208.0,853.0,94.0
EAST LOS ANGELES COLLEGE,Monterey Park,Los Angeles,86.0,472.0,60.0
EL CAMINO COLLEGE,Torrance,Los Angeles,168.0,627.0,125.0
EVERGREEN VALLEY COLLEGE,San Jose,Santa Clara,8.0,56.0,5.0
FOLSOM LAKE COLLEGE,Folsom,Sacramento,14.0,99.0,8.0
FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,103.0,479.0,53.0
FRESNO CITY COLLEGE,Fresno,Fresno,13.0,72.0,5.0
FULLERTON COLLEGE,Fullerton,Orange,74.0,324.0,42.0
GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,121.0,539.0,96.0
