school,city,county,Adm,App,Enr
GOLDEN WEST COLLEGE,Huntington Beach,Orange,19.0,133.0,10.0
GROSSMONT CMTY COLLEGE,El Cajon,San Diego,17.0,112.0,8.0
HARTNELL COLLEGE,Salinas,Monterey,19.0,79.0,4.0
IMPERIAL VALLEY COLLEGE,Imperial,Imperial,10.0,61.0,4.0
IRVINE VALLEY COLLEGE,Irvine,Orange,197.0,818.0,126.0
LANEY COLLEGE,Oakland,Alameda,22.0,119.0,8.0
LAS POSITAS COLLEGE,Livermore,Alameda,42.0,220.0,27.0
LONG BEACH CITY COLLEGE,Long Beach,Los Angeles,42.0,232.0,32.0
LOS ANGELES CITY COLLEGE,Los Angeles,Los Angeles,64.0,288.0,52.0
LOS ANGELES HARBOR COLLEGE,Wilmington,Los Angeles,26.0,114.0,20.0
LOS ANGELES MISSION COLLEGE,Sylmar,Los Angeles,11.0,72.0,8.0
LOS ANGELES PIERCE COLLEGE,Woodland Hills,Los Angeles,195.0,621.0,167.0
LOS ANGELES SOUTHWEST COLLEGE,Los Angeles,Los Angeles,8.0,45.0,5.0
LOS ANGELES TRADE-TECH COLLEGE,Los Angeles,Los Angeles,12.0,59.0,11.0
LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,85.0,330.0,68.0
LOS MEDANOS COLLEGE,Pittsburg,Contra Costa,33.0,129.0,15.0
MERRITT COLLEGE,Oakland,Alameda,3.0,24.0,
MIRACOSTA COLLEGE,Oceanside,San Diego,67.0,345.0,42.0
MISSION COLLEGE,Santa Clara,Santa Clara,10.0,69.0,
MODESTO JUNIOR COLLEGE,Modesto,Stanislaus,13.0,72.0,6.0
MONTEREY PENINSULA COLLEGE,Monterey,Monterey,13.0,70.0,4.0
MOORPARK COLLEGE,Moorpark,Ventura,147.0,569.0,107.0
MORENO VALLEY COLLEGE,Moreno Valley,Riverside,7.0,61.0,4.0
MOUNT SAN JACINTO COLLEGE,San Jacinto,Riverside,34.0,177.0,21.0
MT. SAN ANTONIO COLLEGE,Walnut,Los Angeles,169.0,742.0,113.0
NAPA VALLEY COLLEGE,Napa,Napa,10.0,56.0,4.0
NORCO COLLEGE,Norco,Riverside,19.0,119.0,8.0
OHLONE COLLEGE,Fremont,Alameda,43.0,270.0,20.0
ORANGE COAST COLLEGE,Costa Mesa,Orange,143.0,611.0,84.0
OXNARD COLLEGE,Oxnard,Ventura,8.0,46.0,5.0
PALOMAR COLLEGE,San Marcos,San Diego,43.0,231.0,29.0
PASADENA CITY COLLEGE,Pasadena,Los Angeles,349.0,1294.0,230.0
PORTERVILLE COLLEGE,Porterville,Tulare,3.0,14.0,3.0
REEDLEY COLLEGE,Reedley,Fresno,5.0,20.0,5.0
RIO HONDO COLLEGE,Whittier,Los Angeles,29.0,161.0,19.0
RIVERSIDE CITY COLLEGE,Riverside,Riverside,41.0,293.0,31.0
SACRAMENTO CITY COLLEGE,Sacramento,Sacramento,42.0,188.0,20.0
SADDLEBACK COLLEGE,Mission Viejo,Orange,123.0,467.0,89.0
SAN BERNARDINO VALLEY COLLEGE,San Bernardino,San Bernardino,10.0,74.0,5.0
SAN DIEGO CITY COLLEGE,San Diego,San Diego,27.0,156.0,9.0
SAN DIEGO MESA COLLEGE,San Diego,San Diego,59.0,331.0,29.0
SAN DIEGO MIRAMAR COLLEGE,San Diego,San Diego,41.0,216.0,18.0
SAN JOAQUIN DELTA COLLEGE,Stockton,San Joaquin,9.0,93.0,5.0
SAN JOSE CITY COLLEGE,San Jose,Santa Clara,11.0,59.0,
SANTA ANA COLLEGE,Santa Ana,Orange,29.0,136.0,11.0
SANTA BARBARA CITY COLLEGE,Santa Barbara,Santa Barbara,95.0,646.0,59.0
SANTA MONICA COLLEGE,Santa Monica,Los Angeles,539.0,2062.0,413.0
SANTA ROSA JUNIOR COLLEGE,Santa Rosa,Sonoma,39.0,183.0,22.0
SANTIAGO CANYON COLLEGE,Orange,Orange,44.0,189.0,28.0
SHASTA COLLEGE,Redding,Shasta,11.0,32.0,5.0
SIERRA COLLEGE,Rocklin,Placer,28.0,148.0,12.0
SKYLINE COLLEGE,San Bruno,San Mateo,25.0,120.0,11.0
SOLANO COMMUNITY COLLEGE,Fairfield,Solano,9.0,66.0,
SOUTHWESTERN COLLEGE,Chula Vista,San Diego,24.0,146.0,12.0
TAFT COLLEGE,Taft,Kern,,11.0,
VENTURA COLLEGE,Ventura,Ventura,36.0,164.0,23.0
VICTOR VALLEY COLLEGE,Victorville,San Bernardino,11.0,85.0,4.0
WEST HILLS COLLEGE COALINGA,Coalinga,Fresno,,5.0,
WEST HILLS COLLEGE LEMOORE,Lemoore,Kings,,11.0,
WEST LOS ANGELES COLLEGE,Culver City,Los Angeles,50.0,208.0,26.0
WEST VALLEY COLLEGE,Saratoga,Santa Clara,34.0,179.0,22.0
WOODLAND COMMUNITY COLLEGE,Woodland,Yolo,4.0,23.0,
