school,city,county,Adm,App,Enr
ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,21.0,77.0,9.0
AMERICAN RIVER COLLEGE,Sacramento,Sacramento,29.0,122.0,11.0
ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,33.0,91.0,29.0
BAKERSFIELD COLLEGE,Bakersfield,Kern,24.0,88.0,14.0
BARSTOW COLLEGE,Barstow,San Bernardino,,15.0,
BERKELEY CITY COLLEGE,Berkeley,Alameda,89.0,281.0,26.0
BUTTE COLLEGE,Oroville,Butte,7.0,30.0,3.0
CABRILLO COLLEGE,Aptos,Santa Cruz,40.0,137.0,17.0
CANADA COLLEGE,Redwood City,San Mateo,13.0,62.0,5.0
CERRITOS COLLEGE,Norwalk,Los Angeles,44.0,180.0,34.0
CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,4.0,13.0,3.0
CHABOT COLLEGE,Hayward,Alameda,34.0,145.0,14.0
CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,46.0,178.0,31.0
CITRUS COLLEGE,Glendora,Los Angeles,44.0,194.0,30.0
CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,82.0,288.0,38.0
CLOVIS COMMUNITY COLLEGE,Fresno,Fresno,23.0,64.0,11.0
COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,6.0,36.0,5.0
COLLEGE OF ALAMEDA,Alameda,Alameda,11.0,57.0,4.0
COLLEGE OF MARIN,Kentfield,Marin,25.0,99.0,6.0
COLLEGE OF SAN MATEO,San Mateo,San Mateo,38.0,233.0,21.0
COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,83.0,362.0,61.0
COLLEGE OF THE DESERT,Palm Desert,Riverside,14.0,100.0,7.0
COLLEGE OF THE REDWOODS,Eureka,Humboldt,,8.0,
COLLEGE OF THE SEQUOIAS,Visalia,Tulare,17.0,57.0,11.0
COLLEGE OF THE SISKIYOUS,Weed,Siskiyou,,6.0,
COMPTON COLLEGE,Compton,Los Angeles,,5.0,
CONTRA COSTA COLLEGE,San Pablo,Contra Costa,16.0,69.0,
COSUMNES RIVER COLLEGE,Sacramento,Sacramento,15.0,74.0,5.0
CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,9.0,44.0,6.0
CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,18.0,85.0,7.0
CUYAMACA COLLEGE,El Cajon,San Diego,10.0,56.0,
CYPRESS COLLEGE,Cypress,Orange,46.0,177.0,36.0
DE ANZA COLLEGE,Cupertino,Santa Clara,167.0,960.0,101.0
DIABLO VALLEY COLLEGE,Pleasant Hill,Contra Costa,223.0,882.0,97.0
EAST LOS ANGELES COLLEGE,Monterey Park,Los Angeles,113.0,440.0,83.0
EL CAMINO COLLEGE,Torrance,Los Angeles,174.0,550.0,127.0
EVERGREEN VALLEY COLLEGE,San Jose,Santa Clara,12.0,63.0,4.0
FOLSOM LAKE COLLEGE,Folsom,Sacramento,13.0,57.0,5.0
FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,118.0,473.0,67.0
FRESNO CITY COLLEGE,Fresno,Fresno,9.0,45.0,3.0
FULLERTON COLLEGE,Fullerton,Orange,83.0,338.0,51.0
GAVILAN COLLEGE,Gilroy,Santa Clara,4.0,30.0,
GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,155.0,473.0,121.0
GOLDEN WEST COLLEGE,Huntington Beach,Orange,29.0,92.0,13.0
GROSSMONT CMTY COLLEGE,El Cajon,San Diego,24.0,147.0,6.0
HARTNELL COLLEGE,Salinas,Monterey,7.0,50.0,3.0
IMPERIAL VALLEY COLLEGE,Imperial,Imperial,8.0,31.0,5.0
IRVINE VALLEY COLLEGE,Irvine,Orange,134.0,592.0,81.0
LAKE TAHOE COMMUNITY COLLEGE,South Lake Tahoe,El Dorado,4.0,16.0,
LANEY COLLEGE,Oakland,Alameda,34.0,138.0,9.0
LAS POSITAS COLLEGE,Livermore,Alameda,41.0,135.0,22.0
LONG BEACH CITY COLLEGE,Long Beach,Los Angeles,45.0,185.0,28.0
LOS ANGELES CITY COLLEGE,Los Angeles,Los Angeles,65.0,264.0,50.0
LOS ANGELES HARBOR COLLEGE,Wilmington,Los Angeles,24.0,85.0,15.0
LOS ANGELES MISSION COLLEGE,Sylmar,Los Angeles,11.0,62.0,8.0
