school,city,county,Adm,App,Enr
LOS ANGELES PIERCE COLLEGE,Woodland Hills,Los Angeles,198.0,492.0,156.0
LOS ANGELES SOUTHWEST COLLEGE,Los Angeles,Los Angeles,6.0,44.0,3.0
LOS ANGELES TRADE-TECH COLLEGE,Los Angeles,Los Angeles,10.0,55.0,8.0
LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,101.0,307.0,80.0
LOS MEDANOS COLLEGE,Pittsburg,Contra Costa,25.0,68.0,9.0
MERCED COLLEGE,Merced,Merced,6.0,28.0,4.0
MERRITT COLLEGE,Oakland,Alameda,3.0,19.0,
MIRACOSTA COLLEGE,Oceanside,San Diego,92.0,302.0,44.0
MISSION COLLEGE,Santa Clara,Santa Clara,9.0,81.0,
MONTEREY PENINSULA COLLEGE,Monterey,Monterey,19.0,68.0,8.0
MOORPARK COLLEGE,Moorpark,Ventura,136.0,434.0,102.0
MORENO VALLEY COLLEGE,Moreno Valley,Riverside,21.0,65.0,12.0
MOUNT SAN JACINTO COLLEGE,San Jacinto,Riverside,33.0,140.0,15.0
MT. SAN ANTONIO COLLEGE,Walnut,Los Angeles,164.0,557.0,100.0
NAPA VALLEY COLLEGE,Napa,Napa,16.0,73.0,5.0
NORCO COLLEGE,Norco,Riverside,24.0,112.0,14.0
OHLONE COLLEGE,Fremont,Alameda,44.0,210.0,21.0
ORANGE COAST COLLEGE,Costa Mesa,Orange,123.0,531.0,68.0
OXNARD COLLEGE,Oxnard,Ventura,16.0,72.0,6.0
PALOMAR COLLEGE,San Marcos,San Diego,38.0,163.0,26.0
PASADENA CITY COLLEGE,Pasadena,Los Angeles,285.0,1057.0,214.0
PORTERVILLE COLLEGE,Porterville,Tulare,,5.0,
RIO HONDO COLLEGE,Whittier,Los Angeles,41.0,150.0,28.0
RIVERSIDE CITY COLLEGE,Riverside,Riverside,45.0,272.0,24.0
SACRAMENTO CITY COLLEGE,Sacramento,Sacramento,45.0,152.0,17.0
SADDLEBACK COLLEGE,Mission Viejo,Orange,102.0,359.0,72.0
SAN BERNARDINO VALLEY COLLEGE,San Bernardino,San Bernardino,11.0,57.0,3.0
SAN DIEGO CITY COLLEGE,San Diego,San Diego,33.0,139.0,17.0
SAN DIEGO MESA COLLEGE,San Diego,San Diego,78.0,339.0,39.0
SAN DIEGO MIRAMAR COLLEGE,San Diego,San Diego,39.0,162.0,19.0
SAN JOAQUIN DELTA COLLEGE,Stockton,San Joaquin,16.0,73.0,9.0
SAN JOSE CITY COLLEGE,San Jose,Santa Clara,8.0,57.0,
SANTA ANA COLLEGE,Santa Ana,Orange,35.0,128.0,19.0
SANTA BARBARA CITY COLLEGE,Santa Barbara,Santa Barbara,112.0,551.0,63.0
SANTA MONICA COLLEGE,Santa Monica,Los Angeles,625.0,1988.0,486.0
SANTA ROSA JUNIOR COLLEGE,Santa Rosa,Sonoma,46.0,186.0,18.0
SANTIAGO CANYON COLLEGE,Orange,Orange,43.0,148.0,31.0
SHASTA COLLEGE,Redding,Shasta,11.0,30.0,4.0
SIERRA COLLEGE,Rocklin,Placer,27.0,102.0,11.0
SKYLINE COLLEGE,San Bruno,San Mateo,40.0,115.0,18.0
SOLANO COMMUNITY COLLEGE,Fairfield,Solano,8.0,45.0,5.0
SOUTHWESTERN COLLEGE,Chula Vista,San Diego,30.0,127.0,14.0
VENTURA COLLEGE,Ventura,Ventura,39.0,152.0,23.0
VICTOR VALLEY COLLEGE,Victorville,San Bernardino,8.0,46.0,4.0
WEST HILLS COLLEGE LEMOORE,Lemoore,Kings,,9.0,
WEST LOS ANGELES COLLEGE,Culver City,Los Angeles,22.0,120.0,18.0
WEST VALLEY COLLEGE,Saratoga,Santa Clara,35.0,133.0,16.0
WOODLAND COMMUNITY COLLEGE,Woodland,Yolo,3.0,12.0,
YUBA COLLEGE,Marysville,Yuba,5.0,23.0,
