school,city,county,Adm,App,Enr
ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,13.0,64.0,3.0
AMERICAN RIVER COLLEGE,Sacramento,Sacramento,35.0,142.0,17.0
ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,39.0,109.0,23.0
BAKERSFIELD COLLEGE,Bakersfield,Kern,17.0,79.0,8.0
BERKELEY CITY COLLEGE,Berkeley,Alameda,56.0,218.0,12.0
BUTTE COLLEGE,Oroville,Butte,16.0,28.0,9.0
CABRILLO COLLEGE,Aptos,Santa Cruz,47.0,151.0,17.0
CANADA COLLEGE,Redwood City,San Mateo,27.0,60.0,14.0
CERRITOS COLLEGE,Norwalk,Los Angeles,45.0,174.0,28.0
CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,,16.0,
CHABOT COLLEGE,Hayward,Alameda,33.0,135.0,9.0
CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,41.0,187.0,23.0
CITRUS COLLEGE,Glendora,Los Angeles,46.0,176.0,29.0
CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,52.0,241.0,15.0
CLOVIS COMMUNITY COLLEGE,Fresno,Fresno,21.0,58.0,8.0
COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,11.0,38.0,8.0
COLLEGE OF ALAMEDA,Alameda,Alameda,9.0,73.0,
COLLEGE OF MARIN,Kentfield,Marin,22.0,81.0,5.0
COLLEGE OF SAN MATEO,San Mateo,San Mateo,46.0,228.0,25.0
COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,114.0,417.0,84.0
COLLEGE OF THE DESERT,Palm Desert,Riverside,24.0,106.0,14.0
COLLEGE OF THE REDWOODS,Eureka,Humboldt,,7.0,
COLLEGE OF THE SEQUOIAS,Visalia,Tulare,8.0,41.0,
COLLEGE OF THE SISKIYOUS,Weed,Siskiyou,,7.0,
COLUMBIA COLLEGE,Sonora,Tuolumne,,6.0,
COMPTON COLLEGE,Compton,Los Angeles,4.0,13.0,4.0
CONTRA COSTA COLLEGE,San Pablo,Contra Costa,6.0,59.0,4.0
COPPER MOUNTAIN COLLEGE,Joshua Tree,San Bernardino,4.0,15.0,3.0
COSUMNES RIVER COLLEGE,Sacramento,Sacramento,24.0,116.0,8.0
CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,20.0,62.0,12.0
CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,14.0,85.0,9.0
CUYAMACA COLLEGE,El Cajon,San Diego,10.0,50.0,8.0
CYPRESS COLLEGE,Cypress,Orange,43.0,187.0,26.0
DE ANZA COLLEGE,Cupertino,Santa Clara,221.0,950.0,113.0
DIABLO VALLEY COLLEGE,Pleasant Hill,Contra Costa,214.0,776.0,95.0
EAST LOS ANGELES COLLEGE,Monterey Park,Los Angeles,91.0,332.0,62.0
EL CAMINO COLLEGE,Torrance,Los Angeles,208.0,594.0,156.0
EVERGREEN VALLEY COLLEGE,San Jose,Santa Clara,13.0,56.0,5.0
FOLSOM LAKE COLLEGE,Folsom,Sacramento,25.0,101.0,16.0
FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,98.0,313.0,54.0
FRESNO CITY COLLEGE,Fresno,Fresno,11.0,64.0,
FULLERTON COLLEGE,Fullerton,Orange,93.0,331.0,62.0
GAVILAN COLLEGE,Gilroy,Santa Clara,,23.0,
GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,129.0,475.0,104.0
GOLDEN WEST COLLEGE,Huntington Beach,Orange,46.0,150.0,25.0
GROSSMONT CMTY COLLEGE,El Cajon,San Diego,20.0,127.0,8.0
HARTNELL COLLEGE,Salinas,Monterey,12.0,57.0,5.0
IMPERIAL VALLEY COLLEGE,Imperial,Imperial,7.0,37.0,4.0
IRVINE VALLEY COLLEGE,Irvine,Orange,217.0,735.0,126.0
LAKE TAHOE COMMUNITY COLLEGE,South Lake Tahoe,El Dorado,3.0,20.0,
LANEY COLLEGE,Oakland,Alameda,33.0,113.0,11.0
LAS POSITAS COLLEGE,Livermore,Alameda,45.0,206.0,34.0
LONG BEACH CITY COLLEGE,Long Beach,Los Angeles,52.0,225.0,34.0
LOS ANGELES CITY COLLEGE,Los Angeles,Los Angeles,72.0,281.0,54.0
LOS ANGELES HARBOR COLLEGE,Wilmington,Los Angeles,24.0,90.0,16.0
LOS ANGELES MISSION COLLEGE,Sylmar,Los Angeles,15.0,62.0,13.0
LOS ANGELES PIERCE COLLEGE,Woodland Hills,Los Angeles,210.0,586.0,178.0
LOS ANGELES SOUTHWEST COLLEGE,Los Angeles,Los Angeles,12.0,43.0,9.0
LOS ANGELES TRADE-TECH COLLEGE,Los Angeles,Los Angeles,6.0,35.0,5.0
LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,99.0,256.0,77.0
LOS MEDANOS COLLEGE,Pittsburg,Contra Costa,36.0,126.0,15.0
MERCED COLLEGE,Merced,Merced,8.0,34.0,3.0
MERRITT COLLEGE,Oakland,Alameda,7.0,37.0,
MIRACOSTA COLLEGE,Oceanside,San Diego,90.0,296.0,44.0
MISSION COLLEGE,Santa Clara,Santa Clara,26.0,79.0,8.0
MODESTO JUNIOR COLLEGE,Modesto,Stanislaus,11.0,62.0,5.0
MONTEREY PENINSULA COLLEGE,Monterey,Monterey,13.0,53.0,9.0
MOORPARK COLLEGE,Moorpark,Ventura,140.0,467.0,93.0
MORENO VALLEY COLLEGE,Moreno Valley,Riverside,11.0,62.0,7.0
MOUNT SAN JACINTO COLLEGE,San Jacinto,Riverside,35.0,140.0,14.0
MT. SAN ANTONIO COLLEGE,Walnut,Los Angeles,174.0,632.0,111.0
NAPA VALLEY COLLEGE,Napa,Napa,15.0,43.0,8.0
NORCO COLLEGE,Norco,Riverside,25.0,93.0,17.0
OHLONE COLLEGE,Fremont,Alameda,85.0,237.0,45.0
ORANGE COAST COLLEGE,Costa Mesa,Orange,128.0,524.0,77.0
OXNARD COLLEGE,Oxnard,Ventura,15.0,64.0,10.0
PALOMAR COLLEGE,San Marcos,San Diego,51.0,226.0,28.0
PASADENA CITY COLLEGE,Pasadena,Los Angeles,363.0,1006.0,266.0
PORTERVILLE COLLEGE,Porterville,Tulare,,10.0,
REEDLEY COLLEGE,Reedley,Fresno,4.0,26.0,
RIO HONDO COLLEGE,Whittier,Los Angeles,43.0,115.0,28.0
RIVERSIDE CITY COLLEGE,Riverside,Riverside,47.0,227.0,25.0
SACRAMENTO CITY COLLEGE,Sacramento,Sacramento,57.0,177.0,22.0
SADDLEBACK COLLEGE,Mission Viejo,Orange,102.0,445.0,69.0
SAN BERNARDINO VALLEY COLLEGE,San Bernardino,San Bernardino,5.0,44.0,3.0
SAN DIEGO CITY COLLEGE,San Diego,San Diego,35.0,144.0,10.0
SAN DIEGO MESA COLLEGE,San Diego,San Diego,53.0,256.0,28.0
SAN DIEGO MIRAMAR COLLEGE,San Diego,San Diego,58.0,224.0,29.0
SAN JOAQUIN DELTA COLLEGE,Stockton,San Joaquin,18.0,89.0,9.0
SAN JOSE CITY COLLEGE,San Jose,Santa Clara,6.0,37.0,
SANTA ANA COLLEGE,Santa Ana,Orange,21.0,114.0,16.0
SANTA BARBARA CITY COLLEGE,Santa Barbara,Santa Barbara,126.0,603.0,61.0
SANTA MONICA COLLEGE,Santa Monica,Los Angeles,554.0,1752.0,414.0
SANTA ROSA JUNIOR COLLEGE,Santa Rosa,Sonoma,46.0,159.0,21.0
SANTIAGO CANYON COLLEGE,Orange,Orange,51.0,195.0,34.0
SHASTA COLLEGE,Redding,Shasta,12.0,30.0,3.0
SIERRA COLLEGE,Rocklin,Placer,33.0,145.0,19.0
SKYLINE COLLEGE,San Bruno,San Mateo,39.0,115.0,17.0
SOLANO COMMUNITY COLLEGE,Fairfield,Solano,11.0,51.0,4.0
SOUTHWESTERN COLLEGE,Chula Vista,San Diego,26.0,129.0,11.0
TAFT COLLEGE,Taft,Kern,,8.0,
VENTURA COLLEGE,Ventura,Ventura,54.0,149.0,30.0
VICTOR VALLEY COLLEGE,Victorville,San Bernardino,7.0,58.0,
WEST LOS ANGELES COLLEGE,Culver City,Los Angeles,45.0,202.0,25.0
WEST VALLEY COLLEGE,Saratoga,Santa Clara,31.0,138.0,16.0
WOODLAND COMMUNITY COLLEGE,Woodland,Yolo,4.0,20.0,
YUBA COLLEGE,Marysville,Yuba,3.0,21.0,
