year,broad_discipline,college_school,major_name,admit_gpa_range,admit_rate,enroll_gpa_range,yield_rate,admits,applicants,enrolls,enroll_25th_percentile,enroll_75th_percentile,admit_25th_percentile,admit_75th_percentile
2020,Biological Sciences,College Of Letters & science,Biochemistry,3.73 - 3.96,0.37434555,3.70 - 3.93,0.517482517,143,382,74,3.70,3.93,3.73,3.96
2020,Biological Sciences,College Of Letters & science,Biology,3.76 - 3.96,0.205020921,3.72 - 3.94,0.566326531,196,956,111,3.72,3.94,3.76,3.96
2020,Biological Sciences,College Of Letters & science,"Ecology, behavior & evolution",3.59 - 3.93,0.158536585,3.59 - 3.83,0.538461538,13,82,7,3.59,3.83,3.59,3.93
2020,Biological Sciences,College Of Letters & science,Microbiology - immunology - molecular genetics,3.75 - 3.99,0.268518519,3.71 - 3.92,0.568965517,58,216,33,3.71,3.92,3.75,3.99
2020,Biological Sciences,College Of Letters & science,"Molecular, cell, & developmental biology",3.76 - 3.94,0.37962963,3.75 - 3.93,0.609756098,82,216,50,3.75,3.93,3.76,3.94
2020,Biological Sciences,College Of Letters & science,Neuroscience,3.72 - 3.96,0.221105528,3.70 - 3.87,0.636363636,44,199,28,3.70,3.87,3.72,3.96
2020,Biological Sciences,College Of Letters & science,Physiological science,3.70 - 3.89,0.292857143,3.68 - 3.89,0.780487805,41,140,32,3.68,3.89,3.70,3.89
2020,Biological Sciences,College Of Letters & science,Pre-computational & systems biology,3.51 - 3.62,0.357142857,3.51 - 3.62,1.0,5,14,5,3.51,3.62,3.51,3.62
2020,Business & Management,College Of Letters & science,Labor studies,3.45 - 3.87,0.32,,0.375,8,25,3,,,3.45,3.87
2020,Business & Management,College Of Letters & science,Pre-business economics,3.85 - 4.00,0.115014437,3.84 - 4.00,0.60251046,239,2078,144,3.84,4.00,3.85,4.00
2020,"Communication, Journalism & Rel",College Of Letters & science,Communication,3.95 - 4.00,0.091673675,3.95 - 4.00,0.76146789,109,1189,83,3.95,4.00,3.95,4.00
2020,Computer & Information Sciences,School Of Engineering & applied sci,Computer science,3.93 - 4.00,0.044705882,3.92 - 4.00,0.605263158,76,1700,46,3.92,4.00,3.93,4.00
2020,Engineering,School Of Engineering & applied sci,Aerospace engineering,3.88 - 3.97,0.09478673,3.90 - 4.00,0.75,20,211,15,3.90,4.00,3.88,3.97
2020,Engineering,School Of Engineering & applied sci,Bioengineering,3.77 - 4.00,0.138686131,,0.157894737,19,137,3,,,3.77,4.00
2020,Engineering,School Of Engineering & applied sci,Chemical engineering,3.82 - 4.00,0.276243094,3.76 - 3.99,0.4,50,181,20,3.76,3.99,3.82,4.00
2020,Engineering,School Of Engineering & applied sci,Civil engineering,3.75 - 3.92,0.216,3.67 - 3.91,0.314814815,54,250,17,3.67,3.91,3.75,3.92
2020,Engineering,School Of Engineering & applied sci,Computer engineering,3.91 - 4.00,0.02688172,,0.8,5,186,4,,,3.91,4.00
2020,Engineering,School Of Engineering & applied sci,Computer science & engineering,3.95 - 4.00,0.066852368,3.92 - 4.00,0.333333333,24,359,8,3.92,4.00,3.95,4.00
2020,Engineering,School Of Engineering & applied sci,Electrical engineering,3.79 - 4.00,0.302702703,3.78 - 4.00,0.5,112,370,56,3.78,4.00,3.79,4.00
2020,Engineering,School Of Engineering & applied sci,Materials engineering,3.69 - 3.92,0.35,,0.214285714,14,40,3,,,3.69,3.92
2020,Engineering,School Of Engineering & applied sci,Mechanical engineering,3.83 - 4.00,0.139705882,3.82 - 4.00,0.447368421,76,544,34,3.82,4.00,3.83,4.00
2020,Fine & Applied Arts,College Of Letters & science,Art history,3.55 - 3.89,0.590604027,3.44 - 3.87,0.579545455,88,149,51,3.44,3.87,3.55,3.89
2020,Fine & Applied Arts,School Of The arts & architecture,Art,3.32 - 3.66,0.078947368,3.30 - 3.66,0.833333333,24,304,20,3.30,3.66,3.32,3.66
2020,Fine & Applied Arts,School Of The arts & architecture,Dance,,0.063829787,,1.0,3,47,3,,,,
