year,broad_discipline,college_school,major_name,admit_gpa_range,admit_rate,enroll_gpa_range,yield_rate,admits,applicants,enrolls,enroll_25th_percentile,enroll_75th_percentile,admit_25th_percentile,admit_75th_percentile
2021,Computer & Information Sciences,School Of Engineering & applied sci,Computer science,3.96 - 4.00,0.023535303,3.93 - 4.00,0.617021277,47,1997,29,3.93,4.00,3.96,4.00
2021,Education,College Of Letters & science,Pre-education and social transformation,3.74 - 3.94,0.2625,3.73 - 3.94,0.69047619,42,160,29,3.73,3.94,3.74,3.94
2021,Engineering,School Of Engineering & applied sci,Aerospace engineering,3.78 - 3.93,0.114537445,3.77 - 3.92,0.615384615,26,227,16,3.77,3.92,3.78,3.93
2021,Engineering,School Of Engineering & applied sci,Bioengineering,3.77 - 3.95,0.132075472,3.75 - 3.94,0.380952381,21,159,8,3.75,3.94,3.77,3.95
2021,Engineering,School Of Engineering & applied sci,Chemical engineering,3.80 - 3.98,0.231707317,3.81 - 3.99,0.421052632,38,164,16,3.81,3.99,3.80,3.98
2021,Engineering,School Of Engineering & applied sci,Civil engineering,3.74 - 3.94,0.194552529,3.74 - 3.87,0.34,50,257,17,3.74,3.87,3.74,3.94
2021,Engineering,School Of Engineering & applied sci,Computer engineering,3.92 - 4.00,0.062801932,3.93 - 4.00,0.615384615,13,207,8,3.93,4.00,3.92,4.00
2021,Engineering,School Of Engineering & applied sci,Computer science & engineering,4.00 - 4.00,0.079178886,4.00 - 4.00,0.333333333,27,341,9,4.00,4.00,4.00,4.00
2021,Engineering,School Of Engineering & applied sci,Electrical engineering,3.85 - 4.00,0.339233038,3.86 - 4.00,0.582608696,115,339,67,3.86,4.00,3.85,4.00
2021,Engineering,School Of Engineering & applied sci,Mechanical engineering,3.86 - 4.00,0.190559441,3.83 - 3.99,0.513761468,109,572,56,3.83,3.99,3.86,4.00
2021,Fine & Applied Arts,College Of Letters & science,Art history,3.80 - 3.94,0.408284024,3.80 - 3.94,0.579710145,69,169,40,3.80,3.94,3.80,3.94
2021,Fine & Applied Arts,School Of The arts & architecture,Art,3.56 - 3.91,0.083333333,3.63 - 3.91,0.68,25,300,17,3.63,3.91,3.56,3.91
2021,Fine & Applied Arts,School Of The arts & architecture,Dance,3.64 - 3.86,0.134615385,3.63 - 3.77,0.857142857,7,52,6,3.63,3.77,3.64,3.86
2021,Fine & Applied Arts,School Of The arts & architecture,Design media arts,3.28 - 3.72,0.046961326,3.32 - 3.67,0.764705882,17,362,13,3.32,3.67,3.28,3.72
2021,Fine & Applied Arts,School Of The arts & architecture,Ethnomusicology,,0.375,,1.0,3,8,3,,,,
2021,Fine & Applied Arts,School Of The arts & architecture,World arts & culture,3.41 - 3.98,0.188679245,3.40 - 3.70,0.5,10,53,5,3.40,3.70,3.41,3.98
2021,Fine & Applied Arts,"School Of Theater, film and television",Film & television,3.38 - 3.93,0.014492754,3.35 - 3.92,0.833333333,12,828,10,3.35,3.92,3.38,3.93
2021,Fine & Applied Arts,"School Of Theater, film and television",Theater,3.81 - 3.98,0.025641026,3.76 - 3.99,0.75,8,312,6,3.76,3.99,3.81,3.98
2021,Foreign Languages & Lliterature,College Of Letters & science,Arabic,3.75 - 4.00,1.0,,0.6,5,5,3,,,3.75,4.00
2021,Foreign Languages & Lliterature,College Of Letters & science,Asian languages and linguistics,3.77 - 4.00,0.391304348,,0.444444444,9,23,4,,,3.77,4.00
2021,Foreign Languages & Lliterature,College Of Letters & science,Chinese,3.88 - 4.00,0.25,,0.444444444,9,36,4,,,3.88,4.00
2021,Foreign Languages & Lliterature,College Of Letters & science,Comparative literature,3.73 - 3.92,0.338983051,3.71 - 3.90,0.65,20,59,13,3.71,3.90,3.73,3.92
2021,Foreign Languages & Lliterature,College Of Letters & science,European languages and transcultural studies with french and francophone,3.55 - 3.91,1.0,3.49 - 3.82,0.555555556,9,9,5,3.49,3.82,3.55,3.91
2021,Foreign Languages & Lliterature,College Of Letters & science,Japanese,3.68 - 3.93,0.507462687,3.69 - 3.93,0.617647059,34,67,21,3.69,3.93,3.68,3.93
2021,Foreign Languages & Lliterature,College Of Letters & science,Korean,3.56 - 3.87,0.368421053,3.51 - 3.80,0.857142857,7,19,6,3.51,3.80,3.56,3.87
2021,Foreign Languages & Lliterature,College Of Letters & science,Linguistics,3.79 - 3.94,0.480392157,3.78 - 3.93,0.693877551,49,102,34,3.78,3.93,3.79,3.94
2021,Foreign Languages & Lliterature,College Of Letters & science,Linguistics - english,3.63 - 3.85,0.470588235,3.73 - 3.86,0.625,8,17,5,3.73,3.86,3.63,3.85
2021,Foreign Languages & Lliterature,College Of Letters & science,Linguistics & anthropology,3.68 - 3.96,0.444444444,3.67 - 3.94,0.75,8,18,6,3.67,3.94,3.68,3.96
2021,Foreign Languages & Lliterature,College Of Letters & science,Linguistics & asian languages & cultures,3.74 - 3.91,0.321428571,3.71 - 3.89,0.777777778,9,28,7,3.71,3.89,3.74,3.91
2021,Foreign Languages & Lliterature,College Of Letters & science,Linguistics & computer science,3.70 - 3.98,0.425925926,3.76 - 4.00,0.52173913,23,54,12,3.76,4.00,3.70,3.98
2021,Foreign Languages & Lliterature,College Of Letters & science,Linguistics & philosophy,,0.307692308,,1.0,4,13,4,,,,
2021,Foreign Languages & Lliterature,College Of Letters & science,Linguistics & psychology,3.75 - 3.94,0.376146789,3.72 - 3.93,0.56097561,41,109,23,3.72,3.93,3.75,3.94
2021,Foreign Languages & Lliterature,College Of Letters & science,Spanish,3.51 - 3.79,0.322033898,3.50 - 3.76,0.736842105,19,59,14,3.50,3.76,3.51,3.79
2021,Interdisciplinary Studies,College Of Letters & science,Applied linguistics,3.71 - 3.91,0.326530612,3.69 - 3.89,0.6875,16,49,11,3.69,3.89,3.71,3.91
2021,Interdisciplinary Studies,College Of Letters & science,Pre human biology and society,3.79 - 3.96,0.172839506,3.83 - 3.96,0.714285714,42,243,30,3.83,3.96,3.79,3.96
2021,Interdisciplinary Studies,College Of Letters & science,Pre-cognitive science,3.83 - 4.00,0.342007435,3.78 - 4.00,0.619565217,92,269,57,3.78,4.00,3.83,4.00
2021,Interdisciplinary Studies,College Of Letters & science,Pre-global studies,3.85 - 4.00,0.206140351,3.84 - 4.00,0.680851064,47,228,32,3.84,4.00,3.85,4.00
2021,Letters,College Of Letters & science,American literature & culture,3.50 - 3.97,0.333333333,3.46 - 3.98,0.9,10,30,9,3.46,3.98,3.50,3.97
2021,Letters,College Of Letters & science,English,3.75 - 3.96,0.320809249,3.73 - 3.95,0.527027027,222,692,117,3.73,3.95,3.75,3.96
2021,Letters,College Of Letters & science,Philosophy,3.77 - 4.00,0.406593407,3.75 - 4.00,0.527027027,148,364,78,3.75,4.00,3.77,4.00
2021,Letters,College Of Letters & science,Pre-history,3.80 - 4.00,0.381048387,3.76 - 4.00,0.666666667,189,496,126,3.76,4.00,3.80,4.00
2021,Mathematics,College Of Letters & science,Pre-applied mathematics,3.86 - 4.00,0.36802974,3.87 - 4.00,0.575757576,99,269,57,3.87,4.00,3.86,4.00
2021,Mathematics,College Of Letters & science,Pre-data theory,3.88 - 4.00,0.293838863,3.89 - 4.00,0.564516129,62,211,35,3.89,4.00,3.88,4.00
2021,Mathematics,College Of Letters & science,Pre-financial actuarial mathematics,3.93 - 4.00,0.328,3.88 - 4.00,0.780487805,41,125,32,3.88,4.00,3.93,4.00
2021,Mathematics,College Of Letters & science,Pre-mathematics,3.84 - 4.00,0.312267658,3.89 - 4.00,0.571428571,84,269,48,3.89,4.00,3.84,4.00
2021,Mathematics,College Of Letters & science,Pre-mathematics for teaching,3.85 - 3.96,0.333333333,3.85 - 3.94,0.666666667,15,45,10,3.85,3.94,3.85,3.96
2021,Mathematics,College Of Letters & science,Pre-mathematics of computation,3.80 - 3.97,0.45045045,3.77 - 3.90,0.38,50,111,19,3.77,3.90,3.80,3.97
2021,Mathematics,College Of Letters & science,Pre-mathematics/applied science,3.87 - 3.92,0.162162162,,0.666666667,6,37,4,,,3.87,3.92
2021,Mathematics,College Of Letters & science,Pre-mathematics/economics,3.90 - 4.00,0.354166667,3.90 - 3.99,0.705882353,68,192,48,3.90,3.99,3.90,4.00
2021,Mathematics,College Of Letters & science,Pre-statistics,3.92 - 4.00,0.336805556,3.90 - 4.00,0.597938144,97,288,58,3.90,4.00,3.92,4.00
2021,Nursing,School Of Nursing,Nursing - four year program,3.85 - 3.93,0.024752475,3.85 - 3.93,1.0,10,404,10,3.85,3.93,3.85,3.93
2021,Physical Sciences,College Of Letters & science,Astrophysics,3.83 - 3.92,0.228070175,3.85 - 3.94,0.461538462,13,57,6,3.85,3.94,3.83,3.92
2021,Physical Sciences,College Of Letters & science,Chemistry,3.84 - 4.00,0.230769231,3.83 - 3.99,0.53030303,66,286,35,3.83,3.99,3.84,4.00
2021,Physical Sciences,College Of Letters & science,Chemistry - material science,3.86 - 3.89,0.217391304,,0.6,5,23,3,,,3.86,3.89
2021,Physical Sciences,College Of Letters & science,Earth and environmental science,3.64 - 3.90,0.114285714,3.59 - 3.93,0.875,8,70,7,3.59,3.93,3.64,3.90
2021,Physical Sciences,College Of Letters & science,Geology,3.78 - 3.95,0.3,,0.666666667,6,20,4,,,3.78,3.95
2021,Physical Sciences,College Of Letters & science,Physics,3.84 - 3.96,0.367021277,3.85 - 3.94,0.463768116,69,188,32,3.85,3.94,3.84,3.96
2021,Psychology,College Of Letters & science,Pre-psychobiology,3.82 - 4.00,0.193236715,3.81 - 4.00,0.8,40,207,32,3.81,4.00,3.82,4.00
2021,Psychology,College Of Letters & science,Pre-psychology,3.83 - 4.00,0.173023987,3.82 - 4.00,0.775,440,2543,341,3.82,4.00,3.83,4.00
2021,Public Admin & Social Serv Prof,College Of Letters & science,Pre-public affairs,3.68 - 3.89,0.25,3.64 - 3.91,0.705882353,34,136,24,3.64,3.91,3.68,3.89
2021,Social Sciences,College Of Letters & science,Anthropology,3.73 - 3.96,0.366359447,3.70 - 3.94,0.691823899,159,434,110,3.70,3.94,3.73,3.96
2021,Social Sciences,College Of Letters & science,Geography,3.62 - 3.94,0.505050505,3.58 - 3.90,0.64,50,99,32,3.58,3.90,3.62,3.94
2021,Social Sciences,College Of Letters & science,Geography/environmental studies,3.61 - 3.86,0.5,3.61 - 3.90,0.685714286,35,70,24,3.61,3.90,3.61,3.86
2021,Social Sciences,College Of Letters & science,Pre international development studies,3.83 - 3.95,0.271028037,3.82 - 3.94,0.724137931,29,107,21,3.82,3.94,3.83,3.95
2021,Social Sciences,College Of Letters & science,Pre-economics,3.91 - 4.00,0.131897712,3.91 - 4.00,0.62755102,196,1486,123,3.91,4.00,3.91,4.00
2021,Social Sciences,College Of Letters & science,Pre-political science,3.83 - 4.00,0.299150882,3.81 - 4.00,0.711790393,458,1531,326,3.81,4.00,3.83,4.00
2021,Social Sciences,College Of Letters & science,Pre-sociology,3.83 - 4.00,0.280524122,3.82 - 4.00,0.685774947,471,1679,323,3.82,4.00,3.83,4.00
2022,Agriculture & Natural Resources,College Of Letters & science,Environmental science,3.43 - 3.72,0.299270073,3.39 - 3.65,0.585365854,41,137,24,3.39,3.65,3.43,3.72
2022,Architecture & Environ Design,School Of The arts & architecture,Architectural studies,3.65 - 3.93,0.075085324,3.54 - 3.89,0.636363636,22,293,14,3.54,3.89,3.65,3.93
2022,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,African american studies,3.42 - 3.69,0.461538462,3.40 - 3.67,0.666666667,24,52,16,3.40,3.67,3.42,3.69
2022,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,American indian studies,3.56 - 3.85,0.571428571,3.53 - 3.80,0.625,8,14,5,3.53,3.80,3.56,3.85
2022,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Asian american studies,3.60 - 3.89,0.292682927,3.63 - 3.89,0.583333333,12,41,7,3.63,3.89,3.60,3.89
2022,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Asian humanities,3.72 - 3.94,0.365853659,3.64 - 3.95,0.6,15,41,9,3.64,3.95,3.72,3.94
2022,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Chicana & chicano studies,3.34 - 3.79,0.446428571,3.19 - 3.85,0.52,25,56,13,3.19,3.85,3.34,3.79
2022,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Gender studies,3.55 - 3.92,0.540322581,3.51 - 3.90,0.626865672,67,124,42,3.51,3.90,3.55,3.92
2022,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Pre-asian studies,3.70 - 3.99,0.253521127,3.63 - 4.00,0.277777778,18,71,5,3.63,4.00,3.70,3.99
2022,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Pre-latin american studies,3.73 - 3.93,0.5,,0.6,5,10,3,,,3.73,3.93
2022,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Spanish and community and culture,3.57 - 3.98,0.444444444,3.57 - 3.95,0.75,8,18,6,3.57,3.95,3.57,3.98
2022,Biological Sciences,College Of Letters & science,Biochemistry,3.75 - 4.00,0.357638889,3.73 - 3.99,0.601941748,103,288,62,3.73,3.99,3.75,4.00
2022,Biological Sciences,College Of Letters & science,Biology,3.80 - 4.00,0.184947958,3.77 - 3.96,0.619047619,231,1249,143,3.77,3.96,3.80,4.00
2022,Biological Sciences,College Of Letters & science,"Ecology, behavior & evolution",3.55 - 3.73,0.133333333,,0.375,8,60,3,,,3.55,3.73
2022,Biological Sciences,College Of Letters & science,Microbiology - immunology - molecular genetics,3.75 - 3.93,0.335820896,3.75 - 3.89,0.466666667,45,134,21,3.75,3.89,3.75,3.93
2022,Biological Sciences,College Of Letters & science,"Molecular, cell, & developmental biology",3.76 - 3.93,0.385093168,3.71 - 3.91,0.596774194,62,161,37,3.71,3.91,3.76,3.93
2022,Biological Sciences,College Of Letters & science,Neuroscience,3.74 - 3.94,0.291428571,3.73 - 3.93,0.705882353,51,175,36,3.73,3.93,3.74,3.94
2022,Biological Sciences,College Of Letters & science,Physiological science,3.73 - 3.92,0.245033113,3.71 - 3.88,0.702702703,37,151,26,3.71,3.88,3.73,3.92
2022,Biological Sciences,College Of Letters & science,Pre-computational & systems biology,3.49 - 3.86,0.5,3.46 - 3.60,0.777777778,9,18,7,3.46,3.60,3.49,3.86
2022,Business & Management,College Of Letters & science,Labor studies,3.52 - 3.86,0.366666667,3.37 - 3.86,0.818181818,11,30,9,3.37,3.86,3.52,3.86
2022,Business & Management,College Of Letters & science,Pre-business economics,3.87 - 4.00,0.10392949,3.83 - 4.00,0.625441696,283,2723,177,3.83,4.00,3.87,4.00
2022,"Communication, Journalism & Rel",College Of Letters & science,Communication,3.95 - 4.00,0.112132353,3.95 - 4.00,0.729508197,122,1088,89,3.95,4.00,3.95,4.00
2022,Computer & Information Sciences,School Of Engineering & applied sci,Computer science,3.94 - 4.00,0.036842105,3.90 - 4.00,0.650793651,63,1710,41,3.90,4.00,3.94,4.00
2022,Education,College Of Letters & science,Pre-education and social transformation,3.60 - 3.91,0.418079096,3.63 - 3.93,0.662162162,74,177,49,3.63,3.93,3.60,3.91
2022,Engineering,School Of Engineering & applied sci,Aerospace engineering,3.77 - 3.98,0.154255319,3.81 - 3.97,0.620689655,29,188,18,3.81,3.97,3.77,3.98
2022,Engineering,School Of Engineering & applied sci,Bioengineering,3.77 - 3.92,0.19047619,3.70 - 3.93,0.458333333,24,126,11,3.70,3.93,3.77,3.92
2022,Engineering,School Of Engineering & applied sci,Chemical engineering,3.68 - 3.97,0.25,3.73 - 4.00,0.482758621,29,116,14,3.73,4.00,3.68,3.97
2022,Engineering,School Of Engineering & applied sci,Civil engineering,3.85 - 4.00,0.242574257,3.84 - 4.00,0.326530612,49,202,16,3.84,4.00,3.85,4.00
2022,Engineering,School Of Engineering & applied sci,Computer engineering,3.91 - 4.00,0.046511628,,0.375,8,172,3,,,3.91,4.00
2022,Engineering,School Of Engineering & applied sci,Computer science & engineering,3.94 - 4.00,0.078291815,3.87 - 4.00,0.409090909,22,281,9,3.87,4.00,3.94,4.00
2022,Engineering,School Of Engineering & applied sci,Electrical engineering,3.83 - 4.00,0.296416938,3.81 - 3.98,0.593406593,91,307,54,3.81,3.98,3.83,4.00
2022,Engineering,School Of Engineering & applied sci,Materials engineering,3.82 - 4.00,0.209302326,,0.333333333,9,43,3,,,3.82,4.00
2022,Engineering,School Of Engineering & applied sci,Mechanical engineering,3.85 - 4.00,0.153992395,3.84 - 4.00,0.419753086,81,526,34,3.84,4.00,3.85,4.00
2022,Fine & Applied Arts,College Of Letters & science,Art history,3.66 - 3.94,0.523809524,3.65 - 3.93,0.545454545,77,147,42,3.65,3.93,3.66,3.94
2022,Fine & Applied Arts,School Of The arts & architecture,Art,3.30 - 3.84,0.084870849,3.35 - 3.82,0.565217391,23,271,13,3.35,3.82,3.30,3.84
2022,Fine & Applied Arts,School Of The arts & architecture,Dance,3.76 - 3.91,0.208333333,3.76 - 3.86,0.7,10,48,7,3.76,3.86,3.76,3.91
2022,Fine & Applied Arts,School Of The arts & architecture,Design media arts,3.53 - 3.96,0.046439628,3.53 - 3.96,1.0,15,323,15,3.53,3.96,3.53,3.96
2022,Fine & Applied Arts,School Of The arts & architecture,World arts & culture,3.61 - 3.93,0.230769231,3.55 - 3.81,0.75,12,52,9,3.55,3.81,3.61,3.93
2022,Fine & Applied Arts,"School Of Theater, film and television",Film & television,3.42 - 3.92,0.024064171,3.41 - 3.91,0.888888889,18,748,16,3.41,3.91,3.42,3.92
2022,Fine & Applied Arts,"School Of Theater, film and television",Theater,3.72 - 4.00,0.047808765,3.43 - 4.00,0.75,12,251,9,3.43,4.00,3.72,4.00
2022,Foreign Languages & Lliterature,College Of Letters & science,Asian languages and linguistics,3.65 - 3.88,0.444444444,3.71 - 3.88,0.666666667,12,27,8,3.71,3.88,3.65,3.88
2022,Foreign Languages & Lliterature,College Of Letters & science,Chinese,3.68 - 3.93,0.357142857,3.66 - 3.89,0.5,10,28,5,3.66,3.89,3.68,3.93
2022,Foreign Languages & Lliterature,College Of Letters & science,Comparative literature,3.58 - 3.86,0.448979592,3.46 - 3.80,0.590909091,22,49,13,3.46,3.80,3.58,3.86
2022,Foreign Languages & Lliterature,College Of Letters & science,European languages and transcultural studies with french and francophone,3.60 - 3.95,0.5625,,0.444444444,9,16,4,,,3.60,3.95
2022,Foreign Languages & Lliterature,College Of Letters & science,European languages and transcultural studies with german,,0.5,,1.0,3,6,3,,,,
2022,Foreign Languages & Lliterature,College Of Letters & science,Japanese,3.69 - 3.95,0.574074074,3.69 - 3.94,0.548387097,31,54,17,3.69,3.94,3.69,3.95
2022,Foreign Languages & Lliterature,College Of Letters & science,Korean,3.71 - 3.89,0.352941176,,0.666666667,6,17,4,,,3.71,3.89
2022,Foreign Languages & Lliterature,College Of Letters & science,Linguistics,3.69 - 3.93,0.402439024,3.66 - 3.91,0.424242424,33,82,14,3.66,3.91,3.69,3.93
2022,Foreign Languages & Lliterature,College Of Letters & science,Linguistics - english,3.78 - 3.93,0.5,,0.8,5,10,4,,,3.78,3.93
2022,Foreign Languages & Lliterature,College Of Letters & science,Linguistics & anthropology,3.62 - 3.96,0.375,,0.5,6,16,3,,,3.62,3.96
2022,Foreign Languages & Lliterature,College Of Letters & science,Linguistics & asian languages & cultures,3.81 - 3.97,0.473684211,,0.444444444,9,19,4,,,3.81,3.97
2022,Foreign Languages & Lliterature,College Of Letters & science,Linguistics & computer science,3.66 - 3.88,0.345238095,3.45 - 3.87,0.517241379,29,84,15,3.45,3.87,3.66,3.88
2022,Foreign Languages & Lliterature,College Of Letters & science,Linguistics & psychology,3.64 - 3.87,0.376623377,3.66 - 3.89,0.655172414,29,77,19,3.66,3.89,3.64,3.87
2022,Foreign Languages & Lliterature,College Of Letters & science,Spanish,3.50 - 3.88,0.431034483,3.48 - 3.81,0.56,25,58,14,3.48,3.81,3.50,3.88
2022,Interdisciplinary Studies,College Of Letters & science,Applied linguistics,3.66 - 3.91,0.638888889,3.59 - 3.92,0.608695652,23,36,14,3.59,3.92,3.66,3.91
2022,Interdisciplinary Studies,College Of Letters & science,Geography/environmental studies,3.43 - 3.88,0.555555556,3.37 - 3.76,0.542857143,35,63,19,3.37,3.76,3.43,3.88
2022,Interdisciplinary Studies,College Of Letters & science,Pre human biology and society,3.76 - 3.94,0.223463687,3.76 - 3.95,0.775,40,179,31,3.76,3.95,3.76,3.94
2022,Interdisciplinary Studies,College Of Letters & science,Pre-cognitive science,3.67 - 3.92,0.495614035,3.67 - 3.93,0.557522124,113,228,63,3.67,3.93,3.67,3.92
2022,Interdisciplinary Studies,College Of Letters & science,Pre-global studies,3.85 - 4.00,0.295566502,3.81 - 4.00,0.716666667,60,203,43,3.81,4.00,3.85,4.00
2022,Letters,College Of Letters & science,American literature & culture,3.59 - 3.93,0.607142857,3.61 - 3.96,0.823529412,17,28,14,3.61,3.96,3.59,3.93
2022,Letters,College Of Letters & science,English,3.76 - 4.00,0.395931142,3.78 - 4.00,0.56916996,253,639,144,3.78,4.00,3.76,4.00
2022,Letters,College Of Letters & science,Philosophy,3.63 - 3.93,0.486404834,3.62 - 3.92,0.52173913,161,331,84,3.62,3.92,3.63,3.93
2022,Letters,College Of Letters & science,Pre-history,3.75 - 3.95,0.529274005,3.75 - 3.94,0.632743363,226,427,143,3.75,3.94,3.75,3.95
2022,Mathematics,College Of Letters & science,Pre-applied mathematics,3.79 - 3.96,0.368888889,3.73 - 3.95,0.481927711,83,225,40,3.73,3.95,3.79,3.96
2022,Mathematics,College Of Letters & science,Pre-data theory,3.86 - 4.00,0.34375,3.85 - 3.97,0.545454545,99,288,54,3.85,3.97,3.86,4.00
2022,Mathematics,College Of Letters & science,Pre-financial actuarial mathematics,3.79 - 4.00,0.384615385,3.76 - 4.00,0.571428571,35,91,20,3.76,4.00,3.79,4.00
2022,Mathematics,College Of Letters & science,Pre-mathematics,3.80 - 4.00,0.43718593,3.77 - 4.00,0.459770115,87,199,40,3.77,4.00,3.80,4.00
2022,Mathematics,College Of Letters & science,Pre-mathematics for teaching,3.69 - 3.93,0.289473684,,0.363636364,11,38,4,,,3.69,3.93
2022,Mathematics,College Of Letters & science,Pre-mathematics of computation,3.83 - 3.98,0.552083333,3.88 - 3.96,0.396226415,53,96,21,3.88,3.96,3.83,3.98
2022,Mathematics,College Of Letters & science,Pre-mathematics/applied science,3.52 - 3.80,0.259259259,3.51 - 3.65,0.714285714,7,27,5,3.51,3.65,3.52,3.80
2022,Mathematics,College Of Letters & science,Pre-mathematics/economics,3.86 - 4.00,0.447916667,3.85 - 3.99,0.558139535,43,96,24,3.85,3.99,3.86,4.00
2022,Mathematics,College Of Letters & science,Pre-statistics,3.90 - 4.00,0.425,3.87 - 4.00,0.470588235,85,200,40,3.87,4.00,3.90,4.00
2022,Nursing,School Of Nursing,Nursing - four year program,3.80 - 3.95,0.054187192,3.79 - 3.93,0.909090909,22,406,20,3.79,3.93,3.80,3.95
2022,Physical Sciences,College Of Letters & science,Astrophysics,3.44 - 4.00,0.313432836,3.68 - 4.00,0.333333333,21,67,7,3.68,4.00,3.44,4.00
2022,Physical Sciences,College Of Letters & science,Chemistry,3.60 - 3.91,0.349514563,3.58 - 3.91,0.527777778,72,206,38,3.58,3.91,3.60,3.91
2022,Physical Sciences,College Of Letters & science,Earth and environmental science,3.59 - 3.91,0.288135593,3.66 - 3.91,0.588235294,17,59,10,3.66,3.91,3.59,3.91
2022,Physical Sciences,College Of Letters & science,Physics,3.77 - 3.97,0.340136054,3.81 - 3.98,0.4,50,147,20,3.81,3.98,3.77,3.97
2022,Psychology,College Of Letters & science,Pre-psychobiology,3.74 - 3.96,0.183098592,3.64 - 3.95,0.717948718,39,213,28,3.64,3.95,3.74,3.96
2022,Psychology,College Of Letters & science,Pre-psychology,3.78 - 4.00,0.224373075,3.78 - 4.00,0.77254902,510,2273,394,3.78,4.00,3.78,4.00
2022,Public Admin & Social Serv Prof,College Of Letters & science,Pre-public affairs,3.72 - 4.00,0.300970874,3.68 - 4.00,0.903225806,31,103,28,3.68,4.00,3.72,4.00
2022,Social Sciences,College Of Letters & science,Anthropology,3.62 - 3.94,0.563451777,3.61 - 3.92,0.594594595,222,394,132,3.61,3.92,3.62,3.94
2022,Social Sciences,College Of Letters & science,Geography,3.54 - 3.92,0.655737705,3.63 - 3.87,0.5,40,61,20,3.63,3.87,3.54,3.92
2022,Social Sciences,College Of Letters & science,Pre international development studies,3.52 - 3.89,0.283018868,3.57 - 3.88,0.633333333,30,106,19,3.57,3.88,3.52,3.89
2022,Social Sciences,College Of Letters & science,Pre-economics,3.89 - 4.00,0.186688312,3.87 - 4.00,0.6,230,1232,138,3.87,4.00,3.89,4.00
2022,Social Sciences,College Of Letters & science,Pre-political science,3.78 - 4.00,0.404255319,3.79 - 4.00,0.669172932,532,1316,356,3.79,4.00,3.78,4.00
2022,Social Sciences,College Of Letters & science,Pre-sociology,3.78 - 4.00,0.402238806,3.77 - 4.00,0.625231911,539,1340,337,3.77,4.00,3.78,4.00
