school,city,county,Adm,App,Enr
ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,9.0,58.0,3.0
AMERICAN RIVER COLLEGE,Sacramento,Sacramento,27.0,122.0,11.0
ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,40.0,107.0,27.0
BAKERSFIELD COLLEGE,Bakersfield,Kern,12.0,90.0,6.0
BARSTOW COLLEGE,Barstow,San Bernardino,3.0,13.0,
BERKELEY CITY COLLEGE,Berkeley,Alameda,75.0,278.0,25.0
BUTTE COLLEGE,Oroville,Butte,5.0,27.0,
CABRILLO COLLEGE,Aptos,Santa Cruz,44.0,155.0,27.0
CANADA COLLEGE,Redwood City,San Mateo,15.0,67.0,6.0
CERRITOS COLLEGE,Norwalk,Los Angeles,42.0,185.0,29.0
CHABOT COLLEGE,Hayward,Alameda,52.0,148.0,17.0
CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,24.0,165.0,13.0
CITRUS COLLEGE,Glendora,Los Angeles,40.0,193.0,29.0
CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,66.0,299.0,24.0
CLOVIS COMMUNITY COLLEGE,Fresno,Fresno,15.0,53.0,10.0
COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,8.0,43.0,
COLLEGE OF ALAMEDA,Alameda,Alameda,13.0,51.0,5.0
COLLEGE OF MARIN,Kentfield,Marin,24.0,101.0,6.0
COLLEGE OF SAN MATEO,San Mateo,San Mateo,39.0,228.0,20.0
COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,107.0,357.0,77.0
COLLEGE OF THE DESERT,Palm Desert,Riverside,26.0,105.0,15.0
COLLEGE OF THE SEQUOIAS,Visalia,Tulare,12.0,58.0,6.0
CONTRA COSTA COLLEGE,San Pablo,Contra Costa,12.0,73.0,
COSUMNES RIVER COLLEGE,Sacramento,Sacramento,16.0,77.0,6.0
CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,15.0,50.0,8.0
CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,17.0,100.0,9.0
